Bahamas,0.4,14,7,0.7,3,0.4,0.5,6,1.7,22,7,—,—,—,74,72,76,2.0,1.5,83,0,3.4,4913,34370
Barbados,0.3,11,9,0.2,-0,0.3,0.3,10,1.6,17,16,59,55,70,79,78,81,2.0,1.0,31,0,2.8,4100,14140
Cuba,11.3,10,10,0.1,-2,10.9,10.0,4.0,1.6,16,15,74,72,88,79,77,81,0.7,0.2,77,19,—,388,—
Curaçao,0.2,10,9,0.1,-17,0.2,0.2,8.1,1.6,17,18,—,—,—,78,75,82,—,—,89,0,—,—,25650
Dominica,0.07,10,10,0.0,1,0.07,0.07,20,1.8,22,11,—,—,—,75,73,78,0.8,0.3,71,0,2.7,1200,10900
Dominican Republic,10.5,19,6,1.3,-3,11.8,12.5,22,2.3,27,6,70,68,84,72,70,73,1.0,0.9,80,30,3.2,1313,17330
Grenada,0.1,16,10,0.6,-2,0.1,0.1,21,2.0,24,10,—,—,—,72,70,75,0.8,0.3,36,0,—,3761,15620
Guadeloupe,0.4,11,9,0.2,-14,0.4,0.4,8.0,2.1,18,21,—,—,—,81,76,85,—,—,98,0,2.3,1624,—
Haiti,11.4,24,8,1.6,-3,13.3,14.9,59,3.0,33,5,34,32,44,64,62,66,1.6,2.5,56,24,4.3,1066,1820
Jamaica,2.8,16,8,0.8,-9,2.7,2.3,12,2.1,26,9,73,68,79,75,73,77,2.4,1.3,56,0,3.1,2341,9520
Martinique,0.4,10,9,0.1,-13,0.3,0.3,10,2.0,15,23,—,—,—,82,79,84,—,—,89,0,—,3760,—
Puerto Rico,3.2,7,9,-0.2,-14,2.6,2.1,6.6,1.0,15,20,—,—,—,81,78,85,—,—,94,67,2.7,4556,23620
St. Kitts-Nevis,0.05,13,7,0.6,0,0.06,0.06,8,1.8,20,9,—,—,—,76,74,79,0.5,0.5,31,0,—,1080,25060
Saint Lucia,0.2,12,7,0.5,0,0.2,0.2,12,1.4,19,9,56,53,72,76,75,78,0.6,0.6,19,0,2.8,6051,13060
St. Vincent and the Grenadines,0.1,14,9,0.5,-2,0.1,0.1,14,1.9,22,10,—,—,—,73,70,75,2.0,0.9,53,0,—,2220,12640
Trinidad and Tobago,1.4,13,9,0.4,-1,1.4,1.3,17,1.5,21,9,40,38,58,74,71,76,—,—,53,0,3.3,5475,26050
South America,429,15,6,0.9,-1,476,497,13,2.0,23,9,79,74,—,76,73,80,—,—,84,40,3.3,367,15391
Argentina,45.4,17,8,0.9,-0,51.2,56.1,8.8,2.3,24,12,81g,78g,—,78,74,81,0.6,0.3,92,43,3.3,116,22470
Bolivia,11.6,22,6,1.6,-2,14.1,16.5,29,2.8,31,7,67,45,—,73,70,77,0.4,0.2,69,42,3.3,274,8640
Brazil,211.8,14,6,0.8,-0,229.2,232.9,10,1.7,21,9,80,78,—,76,72,80,—,—,87,42,3.0,382,14530
Chile,19.5,12,6,0.6,13,21.1,21.6,5.6,1.6,19,12,76,70,—,80,78,83,0.9,0.2,88,37,3.1,1519,23750
Colombia,49.4,13,5,0.9,4,54.0,55.4,14,2.0,24,9,81,76,86,76,73,79,0.7,0.2,77,45,3.5,2776,14310
Ecuador,17.5,17,4,1.3,1,20.7,23.1,11,2.3,29,7,80,72,80,77,74,80,0.5,0.2,64,28,3.7,1695,11530
French Guiana,0.3,27,4,2.4,1,0.4,0.5,10,3.6,32,6,—,—,—,80,77,84,—,—,86,0,3.4,2216,—
Guyana,0.8,20,8,1.2,-7,0.8,0.8,26,2.4,28,7,34,33,52,70,67,73,1.5,1.4,27,0,3.8,187,9300
Paraguay,7.3,21,6,1.5,-2,8.4,9.3,17,2.5,30,6,68,67,83,74,72,76,0.6,0.3,62,47,3.9,149,12830
Peru,32.8,19,5,1.4,-3,37.2,40.2,15,2.2,26,8,76,55,67,77,74,80,0.5,0.2,78,32,3.8,941,12450
Suriname,0.6,17,6,1.0,-2,0.7,0.8,17,2.8,27,7,39,39,57,72,69,75,1.5,1.2,66,0,3.8,930,14390
Uruguay,3.5,13,9,0.4,-0,3.7,3.7,6.5,1.8,20,14,80g,78g,—,78,74,81,0.8,0.3,95,50,2.8,145,20590
Venezuela,28.6,18,7,1.1,-21,34.2,36.2,28,2.3,26,8,75,—,—,71,68,75,—,—,88,29,3.9,1102,—
ASIA,4626,17,7,1.0,-0,5112,5331,27,2.0,24,9,64,57,—,73,71,75,—,—,51,23,—,929,12810
Asia (Excluding China),3215,19,6,1.3,-0,3680,3956,31,2.3,27,7,55,47,—,72,70,74,—,—,46,21,4.5,848,11529
Western Asia,281,20,5,1.6,3,344,389,18,2.6,28,6,52,37,—,75,73,77,—,—,72,34,—,737,29309
Armenia,3.0,12,9,0.3,-5,2.9,2.8,6,1.6,20,12,57,28,40,76,72,79,0.2,0.1,64,37,3.5,663,13190
Azerbaijan,10.1,14,6,0.8,0,10.9,11.0,11,1.8,22,7,55,14,—,76,73,78,—,—,53,23,4.1,483,13780
Bahrain,1.5,14,2,1.2,22,1.8,2.0,6,2.0,19,3,—,—,—,77,76,78,—,—,89,0,—,91578,44700
Cyprus,1.2,11,7,0.4,4,1.4,1.4,3,1.5,17,14,—,—,—,81,79,83,—,—,68,0,2.6,1262,39880
Georgia,3.7,13,13,0.0,-3,3.8,3.5,8,2.0,20,15,41,33,51,74,70,78,0.5,0.2,59,28,3.4,1147,13980
Iraq,39.7,27,4,2.3,0,52.4,64.3,23,3.6,37,3,53,36,54,72,70,74,—,—,70,27,6.3,794,10780
Israel,9.2,20,5,1.5,3,11.3,13.5,3.0,3.0,28,12,—,—,—,83,81,85,0.2,<0.1,92,61,3.3,2381,40280
Jordan,10.7,22,4,1.8,1,12.9,13.9,17,2.7,34,4,52,37,57,74,73,76,<0.1,<0.1,91,21,4.7,5711,10050
Kuwait,4.7,14,2,1.2,7,5.4,5.9,7,2.2,22,3,—,—,—,82,81,83,0.1,<0.1,100,72,—,54545,59760
Lebanon,6.8,17,5,1.2,-12,6.2,6.5,9,2.1,26,7,55,47,—,79,77,81,<0.1,<0.1,89,40,—,5170,16330
Oman,4.7,21,2,1.9,19,5.7,6.4,9,2.9,22,3,30,19,40,78,76,81,0.2,0.1,85,30,5.1,6801,29160
Palestinian Territory,5.0,30,4,2.7,-2,6.8,8.7,17,3.5,38,3,57,44,65,74,73,75,—,—,76,0,5.1,9855,6750
Qatar,2.8,10,1,0.9,15,3.4,3.8,6,1.8,14,1,38,34,69,79,79,82,—,—,100,0,4.7,20275,94910
Saudi Arabia,35.0,15,3,1.2,4,43.1,48.1,12,2.0,25,3,25,21,—,76,74,78,—,—,84,48,—,1011,49200
Syria,19.4,24,5,1.9,19,28.1,33.2,17,3.0,34,5,54,38,53,74,72,75,<0.1,<0.1,55,30,—,416,—
Turkey,83.7,18,5,1.2,2,97.2,105.0,9,2.3,23,9,70,49,60,78,76,81,—,—,76,40,3.4,418,27710
United Arab Emirates,9.8,11,1,1.0,4,10.6,10.3,6,1.4,15,1,—,—,—,78,77,79,—,—,87,62,—,21974,67870
Yemen,29.8,30,6,2.4,-1,39.6,48.1,43,3.7,39,3,34,29,47,66,65,68,0.1,<0.1,37,10,6.7,2717,—
Central Asia,75,23,5,1.8,-1,89,101,16,2.8,30,5,54,52,—,73,70,76,0.3,0.1,48,10,4.7,201,11088
Kazakhstan,18.7,21,7,1.4,-1,21.5,24.0,8,2.8,28,7,53,50,73,72,68,77,0.3,0.2,59,22,3.4,64,22950
Kyrgyzstan,6.6,27,5,2.2,-1,8.0,9.2,15,3.3,32,5,39,38,67,72,68,76,0.3,0.2,34,16,4.0,512,5110
Tajikistan,9.4,25,4,2.2,-0,12.5,16.0,27,3.5,34,3,29,27,52,75,73,77,0.3,0.1,26,0,6.0,1310,3890
Turkmenistan,6.0,23,7,1.6,-1,7.1,7.9,43,3.0,31,4,50,47,76,68,65,72,—,—,52,0,—,311,14570
Uzbekistan,34.2,23,5,1.9,-0,39.9,43.8,11,2.5,29,5,65,62,—,75,72,77,0.3,0.1,51,8,5.1,849,7110
South Asia,1967,21,6,1.5,-1,2269,2456,37,2.4,29,6,53,46,69,70,68,71,—,—,36,17,4.8,889,6575
Afghanistan,38.9,33,6,2.7,-2,54.7,70.7,50,4.5,43,3,19g,18g,—,65,63,66,<0.1,<0.1,26,11,8.0,506,2240
Bangladesh,169.8,21,5,1.6,-2,196.9,215.5,34,2.3,28,5,63,59,77,72,71,74,<0.1,<0.1,37,15,4.3,2206,4760
Bhutan,0.7,16,7,0.9,0,0.8,0.9,15,1.7,26,6,66,65,85,72,71,72,0.3,0.2,38,0,4.2,730,10580
India,1400.1,20,6,1.4,-0,1576.3,1663.0,33,2.2,27,6,54,48,72,69,68,70,—,—,35,16,4.6,895,6630
Iran,84.2,17,5,1.2,0,92.5,94.6,6,2.0,24,6,77,57,69,77,75,78,0.2,<0.1,75,27,3.5,573,14560
Maldives,0.5,19,4,1.5,15,0.5,0.5,7,2.1,20,4,19,15,30,79,77,80,—,—,41,0,5.3,13872,17480
Nepal,30.0,21,7,1.4,-1,37.0,40.5,34,2.2,29,6,53,43,56,69,67,70,0.2,0.1,20,5,4.2,1419,3360
Pakistan,220.9,28,6,2.2,-1,287.2,347.8,62,3.6,36,4,34,25,49,69,67,71,0.2,<0.1,37,22,6.6,708,5110
Sri Lanka,21.9,15,6,0.9,-3,22.7,22.3,9,2.1,25,8,65,54,74,77,74,80,<0.1,<0.1,19,0,3.9,1687,12900
Southeast Asia,662,18,7,1.1,-1,749,800,22,2.2,26,7,64,55,73,72,69,75,0.6,0.3,49,17,4.1,904,11893
Brunei,0.5,14,4,1.0,0,0.5,0.5,9,1.7,21,5,—,—,—,78,76,79,—,—,78,0,—,9387,62820
Cambodia,15.5,22,6,1.6,-2,18.8,19.7,22,2.5,31,5,56,39,56,70,69,73,0.5,0.6,24,12,4.6,396,3970
